departamento,c칩digo,mesas,total_mesas,votantes,total_votantes,votos_por_candidato,votos_en_blanco,votos_nulos,votos_no_marcados,iv치n duque,gustavo petro,dane
Amazonas,660196,130,130,19974,46564,19286,471,169,48,9962,9324,1006039
Antioquia,144748,12391,12391,2586802,4726629,2402541,139598,39245,5418,1844027,558514,676968
Arauca,280093,513,513,93254,187189,88275,3215,1518,246,59417,28858,569707
Atlantico,69733,4931,4931,806500,1868411,782969,17743,4937,851,342866,440103,195522
Bogot치 D.C.,16001,14420,14420,3572698,5702805,3332554,200079,38493,1572,1447685,1884869,11001
Bolivar,232529,4224,4224,679726,1550644,662085,12725,3956,960,345415,316670,619411
Boyaca,882230,2622,2622,572874,944530,542488,20688,8773,925,308733,233755,1904249
Caldas,244927,2121,2121,445005,782862,405396,26918,11429,1262,283920,121476,471336
Caqueta,704198,780,780,130619,286586,123200,4965,1685,769,79689,43511,294687
Casanare,885241,801,801,178628,276164,169465,6264,2669,230,127906,41559,1619455
Cauca,464068,2785,2785,508054,954036,483634,13937,8990,1493,160191,323443,817136
Cesar,312379,2132,2132,404826,780342,390925,8682,4655,564,216750,174175,508951
Choco,510681,1016,1016,120899,308970,115737,2315,2331,516,46289,69448,820585
Consulados,6103611,2436,2436,259539,1376071,250553,8340,528,118,180995,69558,1918890
Cordoba,390893,3356,3356,623830,1231078,609175,9234,4605,816,310231,298944,703920
Cundinamarca,1759877,5030,5030,1190460,1884408,1110519,54779,23644,1518,658212,452307,2956365
Guainia,450624,81,81,10434,26923,9970,322,118,24,5873,4097,852320
Guaviare,216023,162,162,27655,58298,25593,1407,580,75,15755,9838,380241
Huila,704769,2178,2178,464117,817464,442775,14964,5771,607,296245,146530,1533302
La Guajira,720142,1585,1585,215913,581727,209599,3509,2514,291,106328,103271,665705
Magdalena,631372,2539,2539,440575,940868,427703,8548,3867,457,226136,201567,1423711
Meta,1509091,1928,1928,421481,708340,396332,17247,7414,488,264513,131819,1461112
Nari침o,1476726,3309,3309,583079,1110166,559261,14961,7532,1325,192588,366673,3354668
Norte De San,1002058,3130,3130,631884,1155957,598500,25433,6746,1205,486004,112496,2176762
Putumayo,832212,620,620,112577,219520,108138,2755,1453,231,30918,77220,1125592
Quindio,312481,1243,1243,256389,467859,235044,15067,5788,490,156973,78071,759921
Risaralda,336625,2046,2046,428501,781544,393913,23913,9432,1243,257267,136646,928911
San Andres,112005,124,124,15301,48517,14585,614,82,20,9303,5282,176565
Santander,2358940,4733,4733,997010,1674701,936938,44208,14305,1559,591714,345224,5951570
Sucre,731141,1918,1918,357962,679867,350256,4797,2392,517,171322,178934,1831933
Tolima,1366113,2882,2882,587320,1058296,554421,21857,10046,996,379766,174655,3449909
Valle,1304625,9287,9287,1743147,3476616,1632108,78248,29992,2799,746819,885289,3209342
Vaupes,408067,66,66,8055,21537,7855,134,56,10,3096,4759,585005
Vichada,288017,144,144,16080,48451,15476,431,142,31,10172,5304,397922
